,Sentence,Result
0,"This related to XML sources ; Process ANSI data standard as specified in FIPS PUB 127 - SQL of retrieving , or other selected Information Resources ; Catalog entities and attributes within servers to enable browsing , searching 2 ;","[Useful Class, Useful Use Case, Useful Activity]"
1,"Establish rules , ; Namespace ; Provide a capability to subscribe for notification of changes to Communities of Interest DCDs Tags , to to ensure maximum semantic understanding of a term as it appears in an XML document ; Links DTDs XML the download , XML Spec ( i.e. DTD , DCD etc . ) , Sample of XML document of Specification the Tag : its information resource type ; View the Information Resource Submittal Package containing the following Information Resource artifacts XML ( tag be will be used for inputting the requesting information for a specific Information Resource ; Provide capabilities to Spec to Tag","[Not Useful Class, Useful Use Case, Not Useful Activity]"
2,This submitted ; Display an XML Tag Specification form to the author of a given information resource . XML to COE or in Registry ; pass request off to recorded … per explicit federation agreements ) .,"[Not Useful Class, Useful Use Case, Useful Activity]"
3,Design ( models data to terms for the maintenance and control of XML tags ; Review / approve submission ; Monitor changes the schema for an ; Validate ; Use and reference existing tags and associated semantic structures .,"[Useful Class, Useful Use Case, Useful Activity]"
4,"Content services ; Use ) related tags wizard XML document ; Structure services ; Record structure ; Check against standard ( e.g. , style guide for other and ) conflict with the DOD data standards convention and establish a relationship to other naming conventions ; Create in a be not Information Resources .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
5,"Manager services ; create and manage usernames , superusers ; Establish acceptable naming convention to ) naming within ; Define a set of metadata tags , information attributed to metadata tags ( meta - metadata I&RTS structure the specified the COE architecture to express the context and relationship of the naming convention to other naming conventions in according , information a registry to select a tag structure examines for in one or more applications that will reuse consumer","[Useful Class, Useful Use Case, Not Useful Activity]"
6,A . to a registry ; Approve and reject submissions ; Forward request to different registry .,"[Not Useful Class, Useful Use Case, Useful Activity]"
7,"Consumer services exchange data according to : Provide the capability to view a Tag ’s origin ; Uses / Used by relationship : relationship changes Descendant ; a pre - defined agreement ; Discovery ; View the XML Tags with the following relationships : Ancestor/ planned post to Associate Information Resources specified in Appendix A ; Annotate rejected ? ; Assemble registered information resources to ; form Resources of forms ; Populate XML Registry database ; Modify of specified terms & definitions of metadata and status Information Provide new ; modeling environment ; Notify change in Information Resources or authorized producer of tag ; Provide a capability for components ) message Assemble new DTDs from current ; Produce DTD as an instantiation ( others are database schema , definition the capability to tabular format ; View the XML Tags by giving the user multiple search options to find a or specific structure / . , which describe or otherwise provide amplifying information ; View the XML Tags via a tree hierarchy etc Tag View","[Useful Class, Useful Use Case, Not Useful Activity]"
8,"Each Information Resource will have its own web page to allow the user to view all pertinent . ; author subscriber the XML tags by giving the user the search option to find all tags of a given / & , , tag ’s data type and related information ;","[Useful Class, Useful Use Case, Not Useful Activity]"
9,"Versioning relationship : Provide the capability to view an a Information view capability view a complex Container Tag ’s parent / child relationship ; Data type information : Provide the to documents resource versions Amplifying information : Provide the capability to view other information resources such as ERwin models , DTDs ; ’s set related ; Reference Sets : Provide the capability to view text related to the domai values or the reference specification reference tags shall include test , demonstration , analysis software , inspection ( T , D , A and the to applied Software will be qualified through formal validation tests of the SRS level requirements .","[Not Useful Class, Useful Use Case, Not Useful Activity]"
