,sentence,useful,verdict
0,"The processes we want to describe are recording the product on the shelf, the customer collecting product, and payment after choosing items; in this part, we have two types of customers: Normal and Extra-customer",1,"[Useful Class, Useful Use Case, Useful Activity]"
1," Before purchasing products from different continents, the supermarket puts on store according to or following on type of each product",1,"[Useful Class, Useful Use Case, Useful Activity]"
2, They use physical inventory where every product purchased is recorded by using the form of stock,1,"[Useful Class, Useful Use Case, Not Useful Activity]"
3," When the chief of the store wants to check the number on the store, they take all forms for each product and then count products to verify if the number written on the form matches the number of products stored",0,"[Not Useful Class, Useful Use Case, Useful Activity]"
4," After purchasing a new product or getting the outcome from a supplier, those products are recorded in stock",1,"[Useful Class, Useful Use Case, Not Useful Activity]"
5," For selling, Products are recorded on the shelf of supermarkets",1,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
6," Others to the cold chamber (cheese, meat) or in the fridge and freezer sometimes come from the cold chamber toward the freezer before being recorded to the shelf, checking the product's expiration date",1,"[Useful Class, Useful Use Case, Useful Activity]"
7," All products are recorded according to the group of each product, the group of alimentation products, the group of pastry/bakery, and butcher products",1,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
8," After recording all products on stock and shelf, it is necessary to record on the cashier's machine where recordable depending on the group",1,"[Useful Class, Useful Use Case, Not Useful Activity]"
9, There is a person loaded that action in the supermarket who controller when the shelf is taken care of or occupied of products,1,"[Useful Class, Useful Use Case, Useful Activity]"
10," When clients or customers enter the supermarket, saw the product wanted in a different group of products, and some employees can help us or orient clients/customers by showing where products are placed",0,"[Not Useful Class, Useful Use Case, Useful Activity]"
11," After choosing and selecting products, one can take a basket for storing goods; before going, check the price, expiration date, and ingredients, then go to the cashier",0,"[Not Useful Class, Useful Use Case, Useful Activity]"
12," Arriving there, they deposit around him; the cashier takes one by one entering on machine according also on a group of the product when finished, gives us to the controller to make the product on free packing",0,"[Not Useful Class, Useful Use Case, Useful Activity]"
13," When the cashier finishes those transactions, they calculate and show the client/customer on-screen of the machine and tell the customer total of money they can pay, and give us an invoice when the customer or client needed",0,"[Not Useful Class, Useful Use Case, Useful Activity]"
14, The delivery process begins when the customer first interacts with the service organization and ends when the delivery of the desired service is completed and the customer exits the process,0,"[Not Useful Class, Useful Use Case, Useful Activity]"
15," At the supermarket, after getting the order from the chief of order, the bakery and pastry agent prepare the goods and quantities of the order",0,"[Not Useful Class, Useful Use Case, Useful Activity]"
16," When finished, they package according to each category of product",0,"[Not Useful Class, Useful Use Case, Useful Activity]"
17," Then the chief of order checks and counts if there is no mistake; when the number of orders written to the proforma invoice is well prepared, they give the order for put out before arriving to the customer",0,"[Not Useful Class, Useful Use Case, Useful Activity]"
18, Some controllers check again to see if there is some product stolen,0,"[Not Useful Class, Useful Use Case, Useful Activity]"
19," After those actions, customers get their order of items ordered; after delivery of that product, the stump and original of the proforma invoice are transferred to the office of the general director",0,"[Not Useful Class, Useful Use Case, Useful Activity]"
20," After selecting the product and calculating the total money, the payment to the customer is made in the following ways: Cash: where the customer presents cash to the cashier or where the cashier receives money, and the customer gets an invoice",1,"[Useful Class, Useful Use Case, Useful Activity]"
21," Cheques: where customers present checks to the cashier for extra-person, not every customer, for example, MINISANTE, CNLS, Rwanda Revenue Authority, and Top Tower Hotel ",1,"[Useful Class, Useful Use Case, Not Useful Activity]"
