sentence,usecase_focus,process_focus,structure_focus
"This related to XML sources ; Process ANSI data standard as specified in FIPS PUB 127 - SQL of retrieving , or other selected Information Resources ; Catalog entities and attributes within servers to enable browsing , searching 2 ;",False,False,False
"Establish rules , ; Namespace ; Provide a capability to subscribe for notification of changes to Communities of Interest DCDs Tags , to to ensure maximum semantic understanding of a term as it appears in an XML document ; Links DTDs XML the download , XML Spec ( i.e. DTD , DCD etc . ) , Sample of XML document of Specification the Tag : its information resource type ; View the Information Resource Submittal Package containing the following Information Resource artifacts XML ( tag be will be used for inputting the requesting information for a specific Information Resource ; Provide capabilities to Spec to Tag",False,False,False
This submitted ; Display an XML Tag Specification form to the author of a given information resource . XML to COE or in Registry ; pass request off to recorded … per explicit federation agreements ) .,False,False,False
Design ( models data to terms for the maintenance and control of XML tags ; Review / approve submission ; Monitor changes the schema for an ; Validate ; Use and reference existing tags and associated semantic structures .,False,False,False
"Content services ; Use ) related tags wizard XML document ; Structure services ; Record structure ; Check against standard ( e.g. , style guide for other and ) conflict with the DOD data standards convention and establish a relationship to other naming conventions ; Create in a be not Information Resources .",False,False,False
"Manager services ; create and manage usernames , superusers ; Establish acceptable naming convention to ) naming within ; Define a set of metadata tags , information attributed to metadata tags ( meta - metadata I&RTS structure the specified the COE architecture to express the context and relationship of the naming convention to other naming conventions in according , information a registry to select a tag structure examines for in one or more applications that will reuse consumer",False,False,False
A . to a registry ; Approve and reject submissions ; Forward request to different registry .,False,False,False
"Consumer services exchange data according to : Provide the capability to view a Tag ’s origin ; Uses / Used by relationship : relationship changes Descendant ; a pre - defined agreement ; Discovery ; View the XML Tags with the following relationships : Ancestor/ planned post to Associate Information Resources specified in Appendix A ; Annotate rejected ? ; Assemble registered information resources to ; form Resources of forms ; Populate XML Registry database ; Modify of specified terms & definitions of metadata and status Information Provide new ; modeling environment ; Notify change in Information Resources or authorized producer of tag ; Provide a capability for components ) message Assemble new DTDs from current ; Produce DTD as an instantiation ( others are database schema , definition the capability to tabular format ; View the XML Tags by giving the user multiple search options to find a or specific structure / . , which describe or otherwise provide amplifying information ; View the XML Tags via a tree hierarchy etc Tag View",False,False,False
"Each Information Resource will have its own web page to allow the user to view all pertinent . ; author subscriber the XML tags by giving the user the search option to find all tags of a given / & , , tag ’s data type and related information ;",False,False,False
"Versioning relationship : Provide the capability to view an a Information view capability view a complex Container Tag ’s parent / child relationship ; Data type information : Provide the to documents resource versions Amplifying information : Provide the capability to view other information resources such as ERwin models , DTDs ; ’s set related ; Reference Sets : Provide the capability to view text related to the domai values or the reference specification reference tags shall include test , demonstration , analysis software , inspection ( T , D , A and the to applied Software will be qualified through formal validation tests of the SRS level requirements .",False,False,False
"The Qualification Methods , I ) . or some part of the computer S / W configuration item , etc . )",False,False,False
and that (,False,False,False
COE F I,False,False,False
TEST .,False,False,False
A qualification method that is carried out by operation of the item / component / / . ) O COE guidelines .,False,False,False
The following table depicts the mapping of the requirements in Section 3 to their DII corresponding with in responsible for distribution of the XS product to system developers .,False,False,False
The XS software shall be delivered accordance relies precedence criticality for Essential ( E ) ; 2 for Desirable ( D ) ; 3 for Optional ( 1 and : the code and to other related requirements within the XS SRS .,False,False,False
"The precedence and criticality codes are following is on collection the data ; INSPECTION A qualification method from that carried out by visual examination , physical is made extrapolations or of data obtained from other qualification methods .",False,False,False
"Examples of the processing of accumulated data are interpretations manipulation , or measurement GCCS - AAGCCS Army Global Command and Control System- Army ; ANSI American National Standards Institute ; ; compilation Systems and to verify that the requirements have been satisfied .",False,False,False
Provided under separate document .,False,False,False
"ACCS Army Command Control the is data / I / F ( or some part of the computer S / W configuration item , component etc / the and subsequent examination of data ; DEMONSTRATIONS A qualification method that is carried out by operation of item the . , qualification method that is carried out by the processing of accumulated data .",False,False,False
An example of accumulated A ) ANALYSIS equipment and that relies on observable functional operation not requiring the use of elaborate instrumentation or special test ; ) CM ( to materialize different query results into different document tree ; Render ; Interrogate document ; Transmit structure,False,False,False
"Disassemble . data ) and charset values ; Check conformance ; Well - formed ; Validate ; Extract views of sufficient metadata to construct Parsers ( dom , sax ) ;",False,False,False
"Check conformance ; Well - formed ; Validate ; Create ; language documents & alternate , semantically - valid views ( e.g. , XSL ) ; Express version .",False,False,False
Consume xml schema natural ( language other design tools & environments ; Record semantic structure in JTA - compliant formalism ; Generate standard / views w ; & associated semantic structures ( extracted from Registry ) ; create new tags & associated semantic structures interchange validation ; metadata schema ; Develop scheme to permit dynamic cross - referencing and indexing of XML objects ; Generate a Version ) by objects .,False,False,False
Generate xml & schema documents ; Generate a document that includes ( by ref or value constraints shall enable requirements shall be determined by the developers of the system in which the XS module is embedded,False,False,False
Personnel Not .,False,False,False
Not .,False,False,False
The Registry software shall be portable and required to execute on COE - compliant platforms . applicable products applicable,False,False,False
"Training is responsible for software maintenance , software support , and software updates .",False,False,False
The DISA Configuration Manager developer . XS . requirements shall be determined by the developers of the system in which the XS module is embedded,False,False,False
"The existing RDBMS and ( e.g. , XSL ) ; Disassemble hierarchical view to relational representation ; Render .",False,False,False
"The Registry document shall XML from a meaningful sharing of XML - based schemas and related information ; Extract semantically - valid views an COTS provide APIs ( transparent to the operator ) with the existing data elements of the DBIF , DAC , interface standard shall",False,False,False
The as specified in Appendix B.,False,False,False
The XS function shall provide standard APIs as specified in Appendix C. XS API Registry submitted provides 3,False,False,False
Section . specification this to a applicable that documents the lists 2,False,False,False
Section . are list of functional traceability verification and requirements the outlines 5,False,False,False
Section . requirements qualification the identifies 4,False,False,False
Section . capabilities COE DII the for database ) remote and local ( distributed to access for functions management data provide also services,False,False,False
These management matrix systems one components XS the for required capabilities software the outlines document,False,False,False
This . interoperablity for solutions the of as .,False,False,False
"Section 6 and Command Tactical Army 001A - 302 - A1 - ATCCS ; 1995 March 22 , ATCCS Control for System ATCCS ( Specification Requirements Software AWIS A142 CDRL ; Specification Segment / Systems ) CASS ( Software Support Common . Specification 6 , ) DII ( Infrastructure Information",False,False,False
"Defense . component XS the with associated notes applicable the contains Shared System Data ( - 100 - A1 - ACCS 1996 July 11 , 1.0 Version DOCUMENT CAPSTONE , ) SHADE Environment ASRD models physical to compliance level requirements described in the adhere I&RTS In the fixed ( static ) mode ; shall sponsors",False,False,False
"COE verification and , performance , functional the establishes ) SRS ( Specification Requirements shall be segmented . of operation ( base personnel to adjust for varying workloads and sizes of associated databases .",False,False,False
"These workloads and databases are site requirements - by or data processing megacenter ) , the data management services shall have the capability of being tuned on for the XML XML using applications support and mission for services infrastructure provide Services",False,False,False
XML . documents XML of Consumption technology and . services on dependencies avoiding of means a applications provide and access data of implementations unique - vendor isolate,False,False,False
"These access Generation schemas Environment Operating Common ) DII ( Infrastructure Information Defense the of area functional ) XS ( Services ( , COE . XML of Design , ) structures and tags ( terms of Registration includes area functional XS",False,False,False
"The ) ) , July 9070 IEC / ISO ; – Standard Formal Military - MIL ; 1993 , June 2 STD-6040 Public Identifier . , Macintosh the for Developers Application , Tools Power Platform - Cross "" , Steve ,",False,False,False
"Petrucci , 2 - 127 Documentation and Development Software - Standard Military STD-498 -",False,False,False
"MIL . 1994 , July 24 , 3 , Windows ; , Publication Standards Processing Information Federal - SQL Language Database 2 - 127 PUB FIPS ; 1994 Dec. DOD , and Windows the with planning crisis as such operations wartime scale full to readiness of degrees varying to react use must of data Software Services",False,False,False
"XML . Compliance COE ; services management data , capabilities transfer , sources and types heterogeneous Version that time & O'Reilly , "" Guide 's Programmer Lewine,""POSIX 1993.Donald , Publishing Electronic House Random , "" NT Associates operations , 1991 - real the is This : Mode Environmental "" XML in Namespaces "" Draft Working",False,False,False
"W3C . Inc. , ) COE System Control and Command Army Theater Standard SDA001A - AAN ; 93 Oct. 1 , Built As ( / STACCS System and Command Army Theater Standard ; 93 Oct. 1 , Built As / 1.1 Version , Specification ) Control 1.1 Document AWIS ; 1994 Oct. 31 , ) SMM ( Manual Management Systems AWIS ML03 CDRL ; 1992 Support Version Software Document Design System ) STACCS ( System Control and Command Army Theater Standard D18664A ; 1994 December , Design expected System STACCS , 1.0 Version , ) GCCS ( System Control and Command Global for Specifications Interface User ; October Nov/94 1994 Draft ( Environment Operating",False,False,False
"Common ) GCCS ( System Control and Command Global the for Document Design Architectural ; ( 28 DISA Integration ) GCCS ( System Control and Command Global ; Draft , Manual Programmers Software System ) Standard , , 1.0 , Baseline Environment Operating",False,False,False
"Common ) GCCS ( System Control and Command Global ; 1994 October , Version XML to more a registry , the producer must be to able receive XML registry forms , submit metadata to metadata contribute",False,False,False
"To purposes of ensuring maximum semantic understanding of a term as it appears in an XML document . and the related information web containing the following Information Resource artifacts : XML Tag Specification , XML Spec ( i.e. DTD the the from Submittal resource artifacts , and notify ; Produce and display submittal forms as part of the Information Resource Package for Registry XML encountered in a production environment .",False,False,False
"However , access to the database may be via a training be application would processing Mode .",False,False,False
"In support of training activities , the data management services shall provide for the same as , access the 3.2 - 1 Producer services A producer is an agent that contributes metadata for inclusion into an figure to in as DBMS rather than from the production mission application .",False,False,False
"The XS shall deliver inter - related components shown Training DCD . ( i.e. DTD , DCD etc . Spec ) Sample of XML document of the tag , XML , Specification are part of the Information Resource Submittal Package containing the following Information Resource artifacts : XML Tag to be submitted . line interactive process ; Submit metadata by a off - line and interactive batch process ; Parse - forms on by",False,False,False
The Package is to be compressed and emailed or sent ftp to an addressee ; Submit metadata an,False,False,False
"These . forms or sent ftp to an addressee ; Download Information Resource Submittal Package from the web containing forms emailed , and be ) , Sample of XML document of the tag to be submitted .",False,False,False
